Cultivar Name,Female Parent,Male Parent,Breeder,Year
dejà vu,kermesina,caerulea constance eliott,roland fischer,2005
delicate dancer,oerstedii,caerulea,rick mccain,1988
denisa,incarnata,(tucumanensis princeps),leopold sevcik,1996
diamantina,not registered,guglielmo betto,subpeltata,maurizio vecchia
diana,gibertii,subpeltata,0,0
diane king,violacea victoria,loefgrenii corupa,les king,2005
diego,amethyst,caerulea,martine sanchez,2014
diva,cupids blush,p. caerulea,david costen,2015
divertido,(tripartita var. mollissima mixta),luzmarina,henk wouters,2007
doktor wittmack,loudonii,princeps,haage & schmidt,1883
dominik,not registered,citrina,???,0
donna brigham,0,0,patrick worley,0
doris,incarnata,???,0,0
doubravka,princeps,aff. oerstedii,leopold sevcik,0
drahomira,cincinnata,aff. oerstedii,leopold sevcik,0
eclipse,violacea,caerulea,fraser wescott,0
ecuador lace,selection of edulis,0,0,0
eden,amethyst,caerulea,hilliers nurseries,2002
edgehill,selection of edulis,0,0,0
edita,biflora,sunburst,leopold sevcik,1996
edoardo vagli,fata confetto,caerulea,franco vagli,2021
edyta,annette,princeps,sebastien sabureau,2014
ek1,syn.: dedorina,0,0,0
ek2,violacea victoria,caerulea,silvan kamstra,0
elagans,invalid,0,0,0
elegante,kermesina,mucronata,henk wouters,2009
el indio,selection of trifasciata,michael schwerdtfeger,0,0
elice,edmundoi,la morellina,nadine van rüschen,2020
el oro,selection of punctata,michael schwerdtfeger,0,0
el tambo,klaas kingma,0,0,0
elizabeth,phoenicea,incarnata,patrick worley,1993
els,trisecta,mixta,henk wouters,2002
ely,caerulea,amethyst,henk wouters,0
emil kugler,selection of caerulea,roland fischer,2000,0
emina,0,0,k. delic,0
enigma,decaisneana,alata,vanderplank,1996
erik / eric,decaisneana,caerulea,van der steeg,0
erl,blue-eyed susan,blue bouquet,kyle rahrig,2014
escobar,selection of manicata,0,0,0
èspero,incarnata alba,actinia,maurizio vecchia,0
etna,not registered,asterix,loefgrenii iporanga,maurizio vecchia
etoile blanche,star of mikan,subpeltata,van der steeg,0
eugenie,syn.: imperatrice eugenia,0,0,0
evatoria,decaisneana,caerulea constance eliott,cor laurens,1992
evelina,incarnata,byron beauty,0,0
evelyne,decaisneana,caerulea,van der steeg,0
evergreen,not registered,0,0,0
everywhere,amethystina,sprucei,vanderplank,2001
excel,edulis,caerulea,les king,2000
