Cultivar Name,Female Parent,Male Parent,Breeder,Year
flora sabureau 3,kew gardens,princeps buzios,sebastien sabureau,2014
flora sabureau 4,kew gardens,princeps buzios,sebastien sabureau,2014
flora sabureau 5,kew gardens,princeps buzios,sebastien sabureau,2014
florida,selection of edulis,klaas kingma,?,?
flottbekstern,?,?,?,?
flying v,pendulifolia,perfoliata,myles irvine,2001
fourth of july,violacea,kermesina,henk wouters,2005
fragrance,selection of caerulea,?,?,?
fragrans,selection of alata,?,?,?
fragrant beauty,?,?,?,?
francesco iii° deste,clear sky,amethystina santa tereza,maurizio vecchia,
franka,creamy,aff. oerstedii,leopold sevcik,1996
freckle face,princeps,cincinnata,rick mccain,1990
fredrick,edulis brazilian gold,edulis kahuna,patrick worley,1993
frits,princeps,caerulea,?,?
frizzle king,selection of cincinnata,cor laurens,2000,?
frizzle queen,selection of cincinnata,cor laurens,2000,?
frosty,selection of edulis,?,?,?
fructifera,selection of caerulea,?,?,?
gabriela,gardneri,gibertii,margarete m. souza,2010
gaia,kew gardens,menispermifolia,maurizio vecchia,2007
gail,?,?,jim nevers,?
gala,selection of caerulea,axel frank,2004,?
galaxy,princeps,cincinnata,rick mccain,1990
galea,selection of edulis,?,?,?
galina,cincinnata,incarnata,leopold sevcik,?
garayaglia,natural hybrid between alata and quadrangularis,chris howell,?,?
gert huiting,fata confetto,caerulea,ladislav cavis,2022
gian,incarnata,celine,mathias tobler / stefan rhyner,2007
giftzwerg,citrina,conzattiana,martin wettges,?
gillian wren,selection of caerulea,gillian wren,2002,?
guilietta,incarnata,edmundoi,maurizio vecchia,?
gizmo,foetida,palmeri,j. segalen,?
glacier,fata confetto,byron beauty,graeme boocock,2021
globe,selection of edulis,?,?,?
gloria moreno,mixta,manicata,patrick worley,?
gocce di cielo,violacea victoria,caerulea,stefania mattiuzzo,2017
gold star / golden star,selection of edulis,emil kugler,?,?
golden gate / san francisco,selection of mixta,?,?,?
golden giant,selection of edulis,?,?,?
golden glow,manicata,pinnatistipula,patrick worley,1996
golden jubilee,capsularis,citrina,martin wills,2004
golden nugget,selection of edulis,?,?,?
golden star,selection of edulis,emil kugler,?,?
gote rosse,trisecta,manicata,engelo ciacciulli,2020
gontieri,?,?,?,?
grace ann,peter lawrence,cincinnata,ronald boender,2007
grand duchess,gritensis,loefgrenii iporanga,henk wouters,2005
grandiflora,invalid name,selection of caerulea,?,?
grandioso,insignis,pinnatistipula,henk wouters,2007
gratia,princeps,cincinnata,harry reimann,1997
green lace,edulis black knight,cincinnata,patrick worley,1995
green tiger,edulis,incarnata,ethan nielsen,?
guglielmo betto,maurizio vecchia,?,?,?
hana,caerulea constance eliott,shirley,leopold sevcik,?
hardy red,invalid name,incarnata,princeps,guido van herck
harlekin,mooreana,amethystina,volker lorenz,2004
harmonie daybreak,arida,palmeri var. sublanceolata,ethan nielsen,2007
hartmuts blue violett,probably synonym for amethyst,?,?,?
hartwissiana,selection of caerulea (white),?,?,?
hawaiian yellow,selection of edulis,?,?,?
HDfK1,harmonie daybreak,foetida kevin,eric wortman / chrystal stone,?
HDfL2,harmonie daybreak,foetida linda,eric wortman / chrystal stone,?
heavenly blue,purple rain,caerulea,cor laurens,2001
helena,tucumanensis,aff. oerstedii,leopold sevcik,1993
hematite,sanguinolenta,capsularis,john vanderplank,1989
herman paraguay,selection of cincinnata,?,?,?
hermin,caerulea,decaisneana,van der steeg,?
hertensprong,?,?,?,?
hetty nicolas,antioquiensis,manicata,henk wouters,?
heva,white wedding,byron beauty,koos scheurwater,?
hildegard,violetta,caerulea,?,?
hillery,?,?,?,?
holly,incarnata lorayne,kermesina,franz dülli / axel frank,2009
honeymoon,kermesina,gritensis,roland fischer,2004
hot shot,vitifolia,coccinea,cor laurens,1996
hubert vranken,incarnata,white star,raoul & patrizia vranken-smeets,2011
hullettii,invalid,karl koch,1871,?
hummingbird,princeps carioca,jutta,david costen,2009
ida,(caerulea aff. x oerstedii),aff. oerstedii,leopold sevcik,1996
ilonka,princeps,amethystina,?,?
imperatrice eugenie,alata,caerulea,c. lemaire,1858
impossible,incense,umbilicata,martine sanchez,2014
inca / red inca,?,?,?,?
incakerm,incarnata,kermesina,?,?
incamet,incarnata,amethystina,?,?
incantesimo,princeps,mucugeana,maurizio vecchia,?
incense,cincinnata,incarnata,robert knight,1975
incense daughter,incense,incarnata,david l. evans,?
indigo dreams,incense,caerulea,patrick worley,1996
innesii,syn.: decaisneana,?,w.p.m. innes,1873
innocence,selection of mathewsii,?,?,?
insignis,masters,1873,?,?
inspiration,tetraploid selection of incense,roland fischer,?,?
